,year,artist,title,lyric_url,lyric
12,1958,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),https://genius.com/patti-page-left-right-out-of-your-heart-(hi-lee-hi-lo-hi-lup-up-up)-lyrics,
13,1958,Pat Boone,If Dreams Came True,https://genius.com/pat-boone-if-dreams-came-true-lyrics,"  Oh my darling, oh my lover  If dreams came true, dear I'd dream you everything That you would always Be happy as a king  If dreams came true, dear No trouble would you see Just song and laughter To keep you company  Oh my darling, oh my lover In your heart you would soon discover Song and laughter ever after From the dreaming I'd do If dreams came true  If dreams came true, dear I'd dream you paradise A moonlit garden And stars to match your eyes  But as for me, dear My world is all agleam For I have you, dear And have no need to dream  Oh my darling, oh my lover In your arms is where I discover More than moonlight, more than starlight More than dreaming could do If dreams came true  "
14,1958,Jerry Butler and The Impressions,For Your Precious Love,https://genius.com/jerry-butler-and-the-impressions-for-your-precious-love-lyrics,
15,1958,The Danleers,One Summer Night,https://genius.com/the-danleers-one-summer-night-lyrics,"  One summer night, we fell in love One summer night, I held you tight You and I, under the moon of love, moon of love  One summer night, I kissed your lips One summer night, I held you close You and I, under the moon of love  You kissed me oh, so tenderly And I knew this was love And I as held you, oh so close I knew no one could ever take your place, ohh  One summer night, we fell in love One summer night, I held you tight You and I, under the moon of love, moon of love  "
16,1958,Jody Reynolds,Endless Sleep,https://genius.com/jody-reynolds-endless-sleep-lyrics,"  VERSE 1 The night was black, rain falling down Looked for my Baby, she's nowhere around Traced her footsteps down to the shore Afraid she's gone for ever more  CHORUS 1 I looked at the sea and it seemed to say “I took your Baby from you away"" I heard a voice crying in the deep “Come join me Baby in my endless sleep""  VERSE 2 Why did we quarrel, why did we fight? Why did I leave her alone tonight? That's why her footsteps ran into the sea That's why my Baby has gone from me  CHORUS 1  VERSE 3 Ran in the water, heart full of fear There in the breakers I saw her near Reached for my darling, held her to me Stole her away from the angry sea  CHORUS 2 I looked at the sea and it seemed to say “You took your baby from me away"" My heart cried out “she's mine to keep I saved my Baby from an endless sleep""  "
17,1958,The Elegants,Little Star,https://genius.com/the-elegants-little-star-lyrics,"  Where are you little star? (Where are you?)  Whoa oh, oh, oh uh oh Ratta ta ta too, ooh ooh Whoa oh, oh, oh uh oh Ratta ta ta too, ooh ooh  Twinkle, twinkle little star How I wonder where you are Wish I may, wish I might Make this wish come true tonight Searched all over for a love You're the one I'm thinkin' of  Whoa oh, oh, oh, uh oh Ratta ta ta too, ooh ooh Whoa oh, oh, oh uh oh Ratta ta ta too, ooh ooh  Twinkle, twinkle little star How I wonder where you are High above the clouds somewhere Send me down a love to share  Whoah oh, oh, oh, uh oh Ratta ta ta too, ooh ooh Whoa oh, oh, oh uh oh Ratta ta ta too, ooh ooh Whoa uh, oh, oh, oh  Oh, there you are High above Oh, oh, God Send me a love  Oh, there you are Lighting up the sky I need a love Oh me, oh, me, oh, my  Twinkle twinkle little star How I wonder where you are Wish I may, wish I might Make this wish come true tonight  Whoa oh, oh, oh, uh oh Ratta ta ta too, ooh ooh Woa oh, oh, oh uh oh Ratta ta ta too, ooh ooh  Oh, ra, ta, ta Ooh, ooh, ooh, ooh, ooh Ooh, ooh, ooh, ooh, ooh There you are little star  "
18,1958,Doris Day,Everybody Loves A Lover,https://genius.com/doris-day-everybody-loves-a-lover-lyrics,"  Everybody loves a lover I'm a lover, everybody loves me Anyhow, that's how I feel Wow, I feel just like a Pollyanna  I should worry, not for nothin' Everybody loves me, yes they do And I love everybody Since I fell in love with you  Who's the most popular personality? I can't help thinkin' it's no one else but me Gee, I feel just about ten feet tall, havin' a ball Guess ya might call me a Pollyanna  Everybody loves a lover  I should worry, not for nothin' Everybody loves me, yes they do And I love everybody Since I fell in love with Fell in love with Fell in love with youuuu  "
19,1958,Bobby Freeman,Do You Want To Dance,https://genius.com/bobby-freeman-do-you-want-to-dance-lyrics,"  Do you want to dance and hold my hand? Tell me baby I'm your lover man Oh baby, do you want to dance?  Do you do you do you do you want to dance Do you do you do you do you want to dance Do you do you do you do you want to dance  Well do you want to dance under the moonlight? Squeeze me baby all through the night Oh baby, do you want to dance?  Do you do you do you do you want to dance Do you do you do you do you want to dance Do you do you do you do you want to dance  Well do you want to dance under the moonlight? Squeeze me baby all through the night Oh baby, do you want to dance  "
20,1958,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,https://genius.com/johnny-cash-and-the-tennessee-two-guess-things-happen-that-way-lyrics,
21,1958,Johnny Mathis,A Certain Smile,https://genius.com/johnny-mathis-a-certain-smile-lyrics,"  A certain smile, a certain face Can lead an unsuspecting heart On a merry chase Afleeting glance can say So many lovely things Suddenly you know why my heart sings  You love awhile and when love goes You try to hide the tears inside With a cheerful pose  *But in the hush of night Exactly like a bitter sweet refrain Comes that certain smile To haunt your heart again  "
22,1958,The Olympics,Western Movies,https://genius.com/the-olympics-western-movies-lyrics,"  To save my soul I can't get a date Baby's got it tuned on channel eight Now Wyatt Earp and the Big Cheyenne They're comin' through the T.V. shootin up the land Ah...um...my baby loves the Western movies My baby loves the Western movies Bam, bam, shoot 'em up Pow Ah..um..My babe loves the Western Movies I call my baby on the telephone To tell her half my head was gone I just got hit by a great big brick She says thanks for reminding me about that Maverick Ah..um...my baby loves the Western movies My baby loves the Western movies Bam, bam, shoot em up pow Ah...um... My baby loves the Western movies Well there's Jeremy Roller and Old Cochise Jim Hardy, Jim Bowie and Sugarfoot They all have gun will travel Give me back my boots and saddle uh huh Here's the story of the certain Wagon Train Mccord A broken arrow has broken my heart A Jefferson Thomas with Bat Masterson Unties my baby and the fight was won Ah..um...my baby loves the Western movies My baby loves the western movies Bam bam shoot em up pow Ah um, my baby loves the western movies  "
23,1958,Sheb Wooley,The Purple People Eater,https://genius.com/sheb-wooley-the-purple-people-eater-lyrics,"  AAAAAHHHH!!!!!!!!!  Well, I saw the thing comin' out of the sky It had a-one long horn and one big eye. (Ooh!) I commenced to shakin' and I said, ""Ooh-eee! It looks like a purple people eater to me!""  It was a one-eyed, one-horned, flyin' purple people eater (One-eyed, one-horned, flyin' purple people eater) A one-eyed, one-horned, flyin' purple people eater Sure looks strange to me (One eye?)  Well, he came down to earth and he lit in a tree I said, ""Mr. Purple People Eater, don't eat me!"" I heard him say in a voice so gruff: ""I wouldn't eat you 'cause you're so tough.""  It was a one-eyed, one-horned, flyin' purple people eater One-eyed, one-horned, flyin' purple people eater One-eyed, one-horned, flyin' purple people eater Sure looks strange to me (One horn?)  I said, ""Mr. Purple People Eater, what's your line?"" He said, ""Eatin' purple people and it sure is fine But that's not the reason that I came to land I wanna get a job in a rock and roll band.""  Well bless my soul, rock and roll, flyin' purple people eater Pigeon-toed, undergrowed, flyin' purple people eater (We wear short shorts) Friendly little people eater What a sight to see! (Oooh!)  And then he swung from the tree and he lit on the ground He started to rock, really rockin' around It was a crazy ditty with a swingin' tune Sing a bop bap aboopa lappa loom bam boom  Well bless my soul, rock and roll, flyin' purple people eater Pigeon-toed, undergrowed, flyin' purple people eater ""I like short shorts"" Flyin' little people eater What a sight to see! (Purple People?)  And then he went on his way, and then what do ya know I saw him last night on a TV show He was blowing it out, a'really knockin' em dead Playin' rock and roll music through the horn in his head  [Sped-up saxophone solo]  ""Tequila""  "
24,1958,Chuck Willis,What Am I Living For,https://genius.com/chuck-willis-what-am-i-living-for-lyrics,"  What am I living for, if not for you? What am I living for, if not for you? What am I living for, if not for you? Oh, nobody else, nobody else will do  What am longing for, each lonely night? To feel your lips to mine and hold you tight You'll be my little girl my whole life through Baby, nobody else, nobody else will do  I want you close to me, that's all I know I want you all the time, cause darling I love you so  What am I living for, if not for you? What am I living for, if not for you? What am I living for, if not for you? Oh, nobody else, nobody else will do Oh, nobody else, nobody else will do Baby, nobody else, nobody else will do  "
25,1958,Poni-Tails,Born Too Late,https://genius.com/poni-tails-born-too-late-lyrics,
26,1958,The Crickets,Think It Over,https://genius.com/the-crickets-think-it-over-lyrics,"  Think it over, what you've just said Think it over in your pretty little head Are you sure think I'm not the one Is your love real or only fun? Think it over Yes, think it over A lonely heart grows cold and old Think it over and let me know Think it over, but don't be slow Just remember all birds and bees Go by two thro' life's mysteries Think it over Yes, think it over A lonely heart grows cold and old Think it over, an think of me Think it over and you will see Happy days when you and I Think as one and kiss the blues goodbye Think it over Yes, think it over A lonely heart grows cold and old Think it over, over and over Think it over, over and over  "
27,1958,Jimmie Rodgers,Secretly,https://genius.com/jimmie-rodgers-secretly-lyrics,"  Do do do do do do do do do do do do Do do do do do do do do do do do do  Why must I meet you in a secret rendevous Why must we steal away to steal a kiss or two Why must we wait to do the things we want to do  Why, oh why, oh why, oh why, oh why  Wish we didn't have to meet, secretly Wish we didn't have to kiss, secretly Wish we didn't have to be afraid to show the world that we're in love  Till we have the right to meet, openly Till we have the right to kiss, openly We'll just have to be content to be in love, secretly  Why, oh why, oh why, oh why, oh why  Wish we didn't have to meet, secretly Wish we didn't have to kiss, secretly Wish we didn't have to be afraid to show the world that we're in love  Till we have the right to meet, openly Till we have the right to kiss, openly We'll just have to be content to be in love, secretly  "
28,1958,The Four Lads,Enchanted Island,https://genius.com/the-four-lads-enchanted-island-lyrics,"  True love Is an enchanted island And we have found that island From which we'll never roam  We stand On an enchanted island A magic yours-and-m6 land That we can call our home  If all around, we found A sea of faces I know your face is The only one I'd see  True love Is an enchanted island And we're upon that island Wherever we may be  "
29,1958,Dean Martin,Angel Baby,https://genius.com/dean-martin-angel-baby-lyrics,"  (Angel baby you're mine forever) (Angel baby, you angel baby you) Who is the dream who starts me dreaming Angel baby Then keeps me worrying and schemeing You, angel baby, you  Who starts me walking 'round in clover Angel baby Then flips my crazy heart right over You, angel baby, you  Who is the chick I would pick as the absolutely perfect miss for me to kiss Who is the girl who can curl me around her finger when we kiss again Who can imagine what I'd give for Angel baby Just for the chance to love and live for You, angel baby, you  (Angel baby) you're mine forever (Angel baby) you, angel baby, you (Who is the chick he would pick as the absolutely perfect miss for him to kiss) (Who is the girl who can twirl him around her little finger when they kiss again)  Who can imagine what I'd give for Angel baby Just for the chance to love and live for You, angel baby, you (Angel baby) you're mine forever (Angel baby) you, angel baby, you  "
30,1958,Big Bopper,Chantilly Lace,https://genius.com/big-bopper-chantilly-lace-lyrics,
31,1958,Don Gibson,Blue Blue Day,https://genius.com/don-gibson-blue-blue-day-lyrics,  It's been a blue blue day I feel like runnin' away I feel like runnin' away from it all My love has been untrue she's found somebody new it's been a blue blue day for me Well I feel like crying dying what can I do I feel like praying saying I'm glad we're through It's been a blue blue day I feel like runnin' away I feel like runnin' away from the blues  Yes how can I make believe that I don't sit and grieve it's been a blue blue day for me I can't pretend and say that I don't love her anyway it's been a blue blue day for me Well I feel like crying... I feel like runnin' away from the blues  
32,1958,Tony And Joe,The Freeze,https://genius.com/tony-and-joe-the-freeze-lyrics,
33,1958,Elvis Presley With The Jordanaires,Don't Ask Me Why,https://genius.com/elvis-presley-with-the-jordanaires-don't-ask-me-why-lyrics,
34,1958,Bobby Day,Rock-in Robin,https://genius.com/bobby-day-rock-in-robin-lyrics,
35,1958,Gerry Granahan,"No Chemise, Please","https://genius.com/gerry-granahan-no-chemise,-please-lyrics",
36,1958,Perry Como,Moon Talk,https://genius.com/perry-como-moon-talk-lyrics,"  Last night when the moon was bright you called me darlin' And you whispered pretty little love words in my ear Was it just moon-talk, only moon-talk Or did those pretty little love words mean you're sincere? ( sincere! ) Did those pretty little love words mean you're sincere? ( sincere! )  Last night when the moon was bright you said ""I love you!"" And you painted pretty little castles in the air Was it just moon-talk, only moon-talk Or did those pretty little castles mean you really care? ( care! ) Did those pretty little castles mean you really care? ( care! )  I know that I . . . meant every sigh When you hugged me the way you hugged me An' you kissed me the way you kissed me In the moonlight! ( Hubba Hubba Hubba Hubba! )  Last night when you held me tight and called me darlin' And you told me that you would die if we should part Was it just moon-talk, only moon-talk Or did those pretty little love words come from your heart? ( heart! ) Did those pretty little love words come from your heart? ( pretty little love words come from your heart! )  Hmmm . . . moon-talk! . . . Hmmm . . . moon-talk! . .  Makes you hug me the way you hugged me Makes you kiss me the way you kissed me In the moonlight! ( I love ya, love ya, love ya, love ya! )  Last night when you held me tight and called me darlin' And you told me that you would die if we should part Was it just moon-talk, only moon-talk Or did those pretty little love words come from your heart? ( heart! ) Did those pretty little love words come from your heart? ( pretty little love words come from your heart! )  Moon talk, Oh moon talk!  "
37,1958,Buddy Knox with the Rhythm Orchids,Somebody Touched Me,https://genius.com/buddy-knox-with-the-rhythm-orchids-somebody-touched-me-lyrics,
38,1958,Pat Boone,That's How Much I Love You,https://genius.com/pat-boone-that's-how-much-i-love-you-lyrics,
39,1958,Bobby Hamilton,Crazy Eyes For You,https://genius.com/bobby-hamilton-crazy-eyes-for-you-lyrics,"  I've got crazy eyes for you, baby I've got crazy eyes for you Oh, yes, my darling dear Indeed, indeed, I do Because I love, love I love you, oh, so true I've got those Crazy eyes for you I, I've got crazy eyes for you Oh, yes, you know, you know You know, you know I do Because I love, love I love you, oh, so true I've got those Crazy eyes for you Sometimes, you make Make me feel good Sometimes, you make Make me feel gay But I love you every second I love you every minute Every hour, hour, hour Of the day I, I, I, I I've got crazy eyes for you Oh, yes, my darling dear Indeed, indeed, I do Because I love, love I love you, oh, so true I've got those Crazy eyes for you Peggy, Peggy, Carol, Carol Glenda and Jenny Mary, Mary, Pat, Pat Sue Anne, Marie But most of all, my Sue I've got those Crazy eyes for you Crazy, crazy, crazy Crazy, crazy, crazy Cra-cra-cra-cra-cra Crazy, crazy, crazy...  "
